pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category,bibtex_url
2026-12-28,Filon methods for highly oscillatory controlled quantum systems,"Submitted, SIAM Journal on Scientific Computing",,"S. Lee and D. Appelö. Submitted to SIAM Journal on Scientific Computing, Special Section on Quantum Computing: Numerical Algorithms and Applications, 2026.",filon-oscillatory-quantum,https://arxiv.org/abs/2607.13580,,preprints,
2026-12-27,Gregory nested Picard iteration schemes for open quantum systems governed by the Lindblad equation,arXiv:2606.29002,,"J. Hu, D. Appelö and Y. Cheng. arXiv:2606.29002, 2026.",gregory-picard-lindblad,https://arxiv.org/abs/2606.29002,,preprints,
2026-12-26,Numerical study of eigenvector deflation to accelerate the WaveHoltz method,arXiv:2606.31842,,"D. Appelö, W. D. Henshaw and Z. Peng. arXiv:2606.31842, 2026.",eigenvector-deflation-waveholtz,https://arxiv.org/abs/2606.31842,,preprints,
2026-12-25,The WaveHoltz heterogeneous multiscale method,arXiv:2607.05811,,"A. Rotem, O. Runborg and D. Appelö. arXiv:2607.05811, 2026.",waveholtz-heterogeneous-multiscale,https://arxiv.org/abs/2607.05811,,preprints,
2026-12-24,Completely positive and trace preserving schemes with tensor train compression for the Lindblad equation,arXiv:2605.01494,,"P. DelMastro, D. Appelö and Y. Cheng. arXiv:2605.01494, 2026.",cptp-tensor-train-lindblad,https://arxiv.org/abs/2605.01494,,preprints,
2025-12-28,Arbitrary high order low-rank completely positive and trace preserving (CPTP) schemes for Lindblad equations with time-dependent Hamiltonian,arXiv:2511.12012,,"J. Hu, D. Appelö and Y. Cheng. arXiv:2511.12012, 2025.",high-order-lowrank-cptp-lindblad,https://arxiv.org/abs/2511.12012,,preprints,
2025-12-27,A new cross approximation for Tucker tensors and its application in Tucker-Anderson acceleration,Submitted (arXiv:2509.18554),,"D. Appelö and Y. Cheng. Submitted, arXiv:2509.18554, 2025.",tucker-cross-approximation,https://arxiv.org/abs/2509.18554,,preprints,
2025-12-26,A multi-frequency Helmholtz solver based on the WaveHoltz algorithm,Submitted (arXiv:2507.23613),,"D. Appelö, F. Appiah, J. W. Banks, C. Carrick, W. D. Henshaw and D. W. Schwendeman. Submitted, arXiv:2507.23613, 2025.",multi-frequency-helmholtz-waveholtz,https://arxiv.org/abs/2507.23613,,preprints,
2025-12-25,A P-adaptive Hermite method for nonlinear dispersive Maxwell's equations,arXiv:2504.09269,,"Y.-M. Law, Z. Peng, D. Appelö and T. Hagstrom. arXiv:2504.09269, 2025.",p-adaptive-hermite-maxwell,https://arxiv.org/abs/2504.09269,,preprints,
2026-12-23,lrAA: Low-rank Anderson acceleration,SIAM Journal on Scientific Computing (accepted),,"D. Appelö and Y. Cheng. SIAM Journal on Scientific Computing (accepted), 2026.",lraa-low-rank-anderson,https://arxiv.org/abs/2503.03909,,manuscripts,
2026-12-22,Convergence of the semi-discrete WaveHoltz iteration,Journal of Computational Physics,,"A. Rotem, O. Runborg and D. Appelö. Journal of Computational Physics, 558:114882, 2026.",convergence-semidiscrete-waveholtz,https://arxiv.org/abs/2407.06929,,manuscripts,
2026-12-21,LR-WaveHoltz: A low-rank Helmholtz solver,Journal of Computational Physics,,"A. Granath, D. Appelö and S. Wang. Journal of Computational Physics, page 115175, 2026.",lr-waveholtz,https://arxiv.org/abs/2510.09352,,manuscripts,
2026-12-20,EigenWave: An optimal O(N) method for computing eigenvalues and eigenvectors by time-filtering the wave equation,Journal of Computational Physics,,"D. Appelö, J. W. Banks, W. D. Henshaw, N. Le and D. W. Schwendeman. Journal of Computational Physics, page 114758, 2026.",eigenwave,https://arxiv.org/abs/2507.18282,,manuscripts,
2026-12-19,An O(N) Helmholtz solver using WaveHoltz and overset grids,SIAM Journal on Scientific Computing,,"D. Appelö, J. W. Banks, W. D. Henshaw and D. W. Schwendeman. SIAM Journal on Scientific Computing, 48(3):A1367-A1398, 2026.",optimal-helmholtz-overset-grids,https://arxiv.org/abs/2504.03074,,manuscripts,
